user_id,prod_id,rating
A20L63B48RPSOH,B005G0CUP2,4.0
A3094EPI56GKZ6,B005MJU1DA,5.0
ANEDXRFDZDL18,B001QXDN5O,3.0
A24J2Y1O22JYZX,B000N99BBC,5.0
AWJWCKB92RJX2,B0007OWNCC,4.0
A2R6RA8FRBS608,B000IF51UQ,3.0
A16J281SJ9QXIQ,B007I5JT4S,5.0
A1HBI9BBQIG1NH,B006K550J0,3.0
A2ZDY0V4Q1SZD7,B003ELYQGG,4.0
AGVWTYW0ULXHT,B005IA843W,5.0
A1G650TTTHEAL5,B00AQUMZRA,5.0
A1QNYLBG73QRNF,B00JP12170,4.0
A1BBYSMT9YCODI,B008O2HVIK,4.0
A2WDCAMKCCP1UR,B00DR0PDNE,5.0
A1TQZUSOU22E9M,B006OZEIKS,4.0
A18YMFFJW974QS,B000M00M2E,5.0
A3QUDXLOJTKEP9,B00B7E1D7W,5.0
A3VBZDYGHF4NK8,B004DMNT2W,4.0
A3N4VTNFPMTHEF,B002JCSCYS,3.0
A506HOOCVL8GW,B003YNRWQA,5.0
A149RNR5RH19YY,B003FMVPFY,3.0
A3DGJMO6VPG6FJ,B000P8X65S,5.0
A2ARDVMUGDFED6,B0007U0GZM,4.0
A3EXWV8FNSSFL6,B002FU5QLQ,3.0
A1MNN0ZMHYPJDU,B00E0EY7Z6,5.0
A12EVK82QUTSA6,B002WE6D44,5.0
AZAC8O310IK4E,B0002FHENE,4.0
A2JP9E1H0SF392,B006U3O566,5.0
A1ODOGXEYECQQ8,B005DEW4BQ,2.0
A226VGZWOEBPGL,B008X9Z3UC,3.0
A1J87SYB3JPQWH,B003ZX871I,5.0
A11KQADBYE0UZL,B00E055H5O,5.0
AM9APPMIE1BHZ,B00CD1FB26,5.0
A2KOV8XWZOZ0FQ,B00BIFNTMC,5.0
A1KI7YHQEOS1RB,B0044YU60M,5.0
A1U5IJHJK84S54,B0045TYDNC,5.0
A10NMELR4KX0J6,B0034XRDUA,3.0
A1MCH5RXDOH87H,B00EUFP39E,1.0
A3T7V207KRDE2O,B000CCUG64,5.0
A1RPJHUVVSI98A,B004TJ6JH6,4.0
A2D1LPEUCTNT8X,B00CBCUS1G,5.0
ABIVKBMSIPEDY,B000P6J67C,3.0
A3CJ7MHAS9IMAM,B00CIRLJPI,5.0
A1O229NVVDJUX2,B00109Y2DQ,2.0
A2L0F2T1DLTNT8,B0027VT6V4,3.0
A15J71JLC29KPW,B002VPDM2A,3.0
AZAC8O310IK4E,B000VZCEUI,4.0
A17V9XL4CWTQ6G,B00BE68UZ6,3.0
ASFW4ZMNZJKDA,B004J4VYEY,4.0
AC6Z7DP1Z5GHD,B000L9OIQ2,5.0
A2NB2E5DXE319Z,B006TF37H8,4.0
A2LW5AL0KQ9P1M,B00FJWKYYG,5.0
A3PCEB9ND82AGE,B00BW6KCTU,5.0
A3F9CMU8KNAY1M,B003ZSHKJ8,4.0
A1CSRR7FCKBL9M,B004HC5IPE,5.0
AYMD77ITD15PT,B0002A9RFM,5.0
A14NA0W8ESGDSI,B00IQ0SE22,5.0
AG2YXYIQ8TLTA,B0077SAYY0,5.0
A1FMU4CJLIDHR9,B001IF252M,1.0
A1P0JSFW184ZXJ,B009AR2MF0,5.0
A1UQBFCERIP7VJ,B00EUUDUKI,5.0
A3G007LQX6KGOD,B005O88CUS,5.0
A3NEAETOSXDBOM,B000RZQZM0,5.0
AE88D7OM7YU99,B00DR8LA60,5.0
ARXU3FESTWMJJ,B000UD3NTC,5.0
A680RUE1FDO8B,B007WTAJTO,5.0
A33ZYFE8XMKKR1,B0055YB5IC,3.0
A21I62TCDL4754,B003LSTD38,4.0
A1V4A5U5O3TMMD,B006JINHYS,5.0
A2MOD50IHEDH3G,B001SJLLTQ,5.0
A1PL7QILVQV3IF,B001CHHVCU,3.0
A1F7YU6O5RU432,B005KQ2O26,5.0
A1ODOGXEYECQQ8,B000LRMS66,5.0
A3TAS1AG6FMBQW,B003ES5ZUU,5.0
A3RGHO0Q938FRS,B00D6JBZBK,5.0
A1U11IP6K6NHAK,B00DTZYHX4,5.0
A1OO9N1MRNQ7K0,B003XIJ566,5.0
AXU8RH1DEV21H,B0000B006W,5.0
A2YRX8J4WM5BRX,B001TZUS98,5.0
A37CEYB95LK6R6,B003TLSXMO,5.0
A3AYSYSLHU26U9,B0041OMWNY,4.0
A27ADCSD15F3GL,B007YXA5TC,4.0
A24QFMD1RXLJMB,B003Y60DZO,4.0
AB094YABX21WQ,B002WI8GG8,4.0
A3A4ZAIBQWKOZS,B00HSYS3C8,5.0
A1VEELTKS8NLZB,B0057OCDQS,4.0
AAQ9NJ480N9W5,B00007GQLU,4.0
AGXV8E7XK9J6H,B0002YE686,3.0
A11KZ906QD08C5,B0002XQDSS,5.0
A2FRKEXDXDN1KI,B001NEK0PC,3.0
AWHL379EE14K7,B0056TYRMW,5.0
A2RU4U1JZ3DMP5,B00017LSPI,4.0
ANXEW7IDYDJEH,B00BDS3N1G,5.0
A2NOW4U7W3F7RI,B002V8C3W2,5.0
A2IIAQ7VVAHXTD,B004YDUZ22,5.0
A2HRHF83I3NDGT,B005DKZTMG,5.0
A1IBKN1GXYJ3K4,B00CALM12W,5.0
A2LXX47A0KMJVX,B001V9LQAW,3.0
A3CLWR1UUZT6TG,B0097BEFYA,3.0
A3284KYDZ00BZA,B004N62I0C,3.0
A3PGVJF37JSHFO,B004G6002M,3.0
A28N2AWOVO2PB,B0054YF0C0,2.0
A3G7BEJJCPD6DS,B004H8FNCQ,4.0
A3QU3O79AGNWCY,B000E5CYW8,5.0
AM3XNQU9TZBD8,B008C1JC4O,5.0
A3JLOIXFM75QNV,B000U9WVW6,4.0
A26SO3TOT2TLJE,B005EOWBKE,5.0
AONUCJBC85BL,B00BLZDKX2,5.0
A3A4ZAIBQWKOZS,B0015DYMVO,4.0
AWPODHOB4GFWL,B003ZSHKIY,5.0
A1YVO5V1SO18DZ,B00B4OCWE8,5.0
A27AF4DLLOBQDQ,B006TT91TW,5.0
A7UPJYPAH73NC,B00FJRS5BA,5.0
A1901NTE8LFJF6,B005GTO07O,3.0
A3EXWV8FNSSFL6,B00DVEJA7G,5.0
A2S26YGSVXBCFL,B00F3F0EIU,5.0
A2XIOXRRYX0KZY,B007ULT422,4.0
A1MBXP3NZM2BUO,B00829THK0,5.0
A3G7BEJJCPD6DS,B009M27MB2,5.0
A3L9E0YI7C5G0W,B00BGA9WK2,5.0
A203OCQQ12MAVT,B003UI62AG,5.0
A314KKDIJWCNMV,B0019EHU8G,5.0
A1EH2S92FHWZRP,B00FRMAOIO,5.0
A2AC6GQ24S45GA,B005MR598O,4.0
A1HFT68GJ42LTM,B005BOMTT0,5.0
A2LXX47A0KMJVX,B0017U87TS,4.0
A2XIOXRRYX0KZY,B00E9646MY,4.0
AGXMC3ITWZASE,B002JM1XWQ,4.0
A3VZH0PWLQ9BB1,B0097FZRYI,4.0
A1YEPFLLH42OU1,B0037D51FQ,5.0
A26LD9FQHTM8ZH,B006K551TO,2.0
A1P0JSFW184ZXJ,B003LRVNUU,4.0
A1NGFGBX2VCQS8,B004Z788JO,2.0
A14X244VGHWPSX,B00CBQP718,5.0
A2UWPPU5GZLMQZ,B001UAB4TU,4.0
A2NB2E5DXE319Z,B000CKVOOY,4.0
A1VYFEJM12ZP11,B0000BVYTV,5.0
A1TR1R2QKWRSRA,B0093HAWZY,4.0
ADLVFFE4VBT8,B004CLYJ1Y,3.0
A3INN916E4VION,B0036QL1JY,5.0
A1URXSRV6WDHVY,B004BLK24S,5.0
A10NMELR4KX0J6,B008TLQ5RY,5.0
A1T9MILRRZ00F8,B00CHHDWDG,4.0
A3CP3J7OEGQMD5,B002QEBMAK,5.0
A3775OP5VTX5ON,B00006B81E,5.0
A2UOHALGF2X77Q,B009B0MY6S,5.0
A84FLVDK2R5JF,B001R23JMQ,4.0
AWPODHOB4GFWL,B004KPLNO8,5.0
A2HDTOF8222KN3,B00004T8R2,5.0
A3A4ZAIBQWKOZS,B00DW374W4,5.0
A3ER6ARJ23CIN8,B0026SKZO0,2.0
A3OYO7B6SS7QLH,B0056TYRMW,5.0
AEL6CQNQXONBX,B004IZN3WU,5.0
A8CKH8XB33XGN,B002PX9BX2,5.0
A34LQ791ACZ0JC,B003S6ID20,5.0
A2CIQEY05SPHTZ,B001DQKHX0,5.0
A5JLAU2ARJ0BO,B004J4VYEY,1.0
A1F1A0QQP2XVH5,B0052B9QOI,4.0
A1ODOGXEYECQQ8,B009T0NLYO,3.0
A3R33KMESG0XGQ,B00BE68UZ6,4.0
A3V8P0O224OBDB,B00884WH74,5.0
APBDZ88BBTN4F,B00BWHILCY,4.0
A2XHOLOLKGV1FE,B0097BEFYA,5.0
A250AXLRBVYKB4,B0007Y836W,4.0
ABVYGB2TKBO8F,B002VR6A9K,4.0
AGXMC3ITWZASE,B002GP7ZT6,4.0
A22CW0ZHY3NJH8,B00H7PBWK8,5.0
A2VC48WIMY6L6E,B000F7QRTG,5.0
A2TRXEZYU9GYY8,B003ZM7YTA,5.0
A33CNFK776MTWR,B00AJG3NK4,3.0
A11I1I9QLMAM1A,B005KFONIU,5.0
AHS6PX6H22WW1,B002R5AM7C,4.0
A3RGHO0Q938FRS,B001CHHVCU,4.0
A2TA40MV2H4O6F,B0012Y6HC8,5.0
ARBKYIVNYWK3C,B009XNBFJK,4.0
A1MZL91Z44RN06,B00766BF1E,4.0
A1F1A0QQP2XVH5,B0037258ZK,5.0
A2QNS95WGN35G9,B003FSTAVY,5.0
A3VZH0PWLQ9BB1,B00ATM1MGA,5.0
